rr,or_minutes,offset_ticks,direction,net1,pf1,tr1,net2,pf2,tr2,net3,pf3,tr3,net4,pf4,tr4,min_net,sum_net,n_pos
1.0,10,1,long,99.70999999999947,1.0187330794507268,221,267.0899999999999,1.0321591377030943,209,-2531.38,0.6608379568654932,237,3.399999999999551,1.0004265232210534,215,-2531.38,-2161.180000000001,3
1.0,10,1,short,-1381.7600000000002,0.7496870544715435,199,1332.0999999999995,1.1739233750091396,210,-2405.2200000000003,0.6698375831850826,228,-457.8900000000003,0.9430497116354506,211,-2405.2200000000003,-2912.7700000000013,1
1.0,10,2,both,-99.90000000000055,0.9855321182629853,260,1116.4099999999992,1.1076826919274392,266,-2927.2800000000007,0.6798064365110443,272,-1416.2100000000005,0.868502957316224,254,-2927.2800000000007,-3326.9800000000023,1
1.0,10,2,long,264.69999999999953,1.0492216947362354,220,337.0799999999995,1.040020135917443,208,-2866.3900000000003,0.6361234777597091,236,112.13999999999947,1.0139301406057266,214,-2866.3900000000003,-2152.470000000002,3
1.0,10,2,short,-1458.0600000000004,0.7448222755035967,194,1430.839999999999,1.1829337363183892,209,-2855.25,0.628402165099932,225,-302.9100000000003,0.9629420292514635,209,-2855.25,-3185.3800000000015,1
1.0,10,3,both,-303.65000000000055,0.9582177493037438,260,1087.6599999999999,1.1018997884543678,266,-3281.0300000000007,0.6591470547292005,272,-1028.7100000000005,0.9053619431202014,254,-3281.0300000000007,-3525.730000000002,1
1.0,10,3,long,207.17999999999967,1.0374971494347738,218,530.8,1.0628889834092987,205,-3295.1500000000005,0.6032253481102586,235,-100.39000000000064,0.9879377651643045,211,-3295.1500000000005,-2657.5600000000018,2
1.0,10,3,short,-1853.0900000000004,0.6935846049037311,191,1188.3399999999992,1.1456009958807198,209,-2852.7700000000004,0.6378570784782425,223,-147.94000000000062,0.9821117645920795,206,-2852.7700000000004,-3665.460000000002,1
1.0,10,4,both,-209.90000000000055,0.9717161263894337,260,803.9099999999997,1.0728258506359387,266,-3311.0300000000007,0.6676406817771174,272,-671.2100000000005,0.9389390545883269,254,-3311.0300000000007,-3388.230000000002,1
1.0,10,4,long,29.64999999999975,1.005204977819597,215,449.52999999999963,1.052505802117145,203,-2985.17,0.6382655670243008,233,75.83999999999932,1.0090472151540857,209,-2985.17,-2430.1500000000015,3
1.0,10,4,short,-2101.85,0.669331709765165,190,662.0799999999992,1.0766932743955342,208,-2745.29,0.6570526634012036,221,-76.7000000000005,0.9909152823428387,205,-2745.29,-4261.760000000001,1
1.0,10,8,both,673.8399999999996,1.0852019411435958,259,-234.8400000000006,0.9811202894181491,266,-2224.8100000000004,0.784100271426118,269,-672.4600000000005,0.944464769574959,254,-2224.8100000000004,-2458.270000000002,1
1.0,10,8,long,262.0399999999995,1.0447528465809433,204,288.24999999999955,1.0313474680598393,200,-1627.8400000000001,0.7944996749291473,216,309.53999999999974,1.0344786104297965,204,-1627.8400000000001,-768.0100000000014,3
1.0,10,8,short,-1384.4600000000003,0.7820259498165,179,-487.9800000000009,0.948944317730022,202,-2445.42,0.7029138598164335,208,977.02,1.1119434450835264,202,-2445.42,-3340.8400000000015,1
1.0,15,0,both,166.34999999999945,1.0236502576861561,260,1245.159999999999,1.111099809236249,266,-2269.7800000000007,0.7504647631988902,272,-781.2100000000007,0.9311253525460458,254,-2269.7800000000007,-1639.480000000003,2
1.0,15,0,long,867.1799999999993,1.1714967151451385,218,764.5599999999996,1.0872756495504146,206,-1541.4300000000007,0.7842645206438068,232,-85.45000000000061,0.9898397546797175,205,-1541.4300000000007,4.8599999999975125,2
1.0,15,0,short,-954.3300000000004,0.8290175492031641,192,455.7999999999988,1.0515736876883943,205,-2651.5600000000004,0.6523697710792352,219,1124.5199999999993,1.1421359576721717,202,-2651.5600000000004,-2025.5700000000027,2
1.0,15,1,both,37.599999999999454,1.0051269954034305,260,586.4099999999992,1.0497746006174187,266,-2404.78,0.7465926501984241,272,-551.2100000000006,0.9521571010090052,254,-2404.78,-2331.9800000000023,2
1.0,15,1,long,1019.6599999999994,1.1989945472925765,216,822.0399999999996,1.0920375701024574,204,-1538.9500000000003,0.7905121660711246,230,-1.7100000000004343,0.9997995075624342,204,-1538.9500000000003,301.0399999999982,2
1.0,15,1,short,-1158.0900000000001,0.8014483883079677,191,-187.97000000000094,0.9797589422144025,203,-2821.5600000000004,0.6438557428696928,219,1146.999999999999,1.1422577432489585,200,-2821.5600000000004,-3020.6200000000026,1
1.0,15,2,both,-222.40000000000072,0.970832633876112,260,30.159999999998774,1.0024487913558315,266,-2329.7800000000007,0.7606136267891456,272,-302.4600000000004,0.974126648200773,254,-2329.7800000000007,-2824.480000000003,1
1.0,15,2,long,830.8899999999994,1.1573193475400216,214,779.5399999999995,1.0852977059978888,204,-1496.4900000000002,0.7996004033462202,226,67.02999999999956,1.0078064312508808,203,-1496.4900000000002,180.96999999999827,3
1.0,15,2,short,-1325.6200000000006,0.7822905136197761,188,-715.4800000000007,0.9263742822449528,202,-2936.580000000001,0.6391317277703088,217,1190.7399999999996,1.144173268483574,199,-2936.580000000001,-3786.9400000000023,1
1.0,15,3,both,-9.900000000000546,0.9987258670860583,260,-71.09000000000128,0.9943730177136357,266,-2736.0300000000007,0.7317880599941181,272,-361.21000000000083,0.9699336677828859,254,-2736.0300000000007,-3178.230000000003,0
1.0,15,3,long,885.8599999999992,1.1646864606707108,211,1004.5099999999995,1.1103060757233516,201,-1598.9900000000002,0.7925079188764476,226,-52.98000000000036,0.9940052683032805,202,-1598.9900000000002,238.39999999999816,2
1.0,15,3,short,-1551.9000000000005,0.7547934491503328,185,-866.7300000000007,0.9122215177951121,202,-3017.8400000000006,0.6384755269217041,216,1329.4799999999996,1.157982546201232,198,-3017.8400000000006,-4106.990000000002,1
1.0,15,4,both,-119.90000000000055,0.9850870090311281,260,-219.85000000000124,0.9830002064564419,265,-2792.2800000000007,0.7347571922798526,272,61.28999999999928,1.005080488734893,254,-2792.2800000000007,-3070.7400000000034,1
1.0,15,4,long,878.3399999999997,1.15968889082817,209,966.9899999999989,1.1051465815046668,199,-1815.25,0.7736246003122679,225,165.74999999999943,1.0187653264317689,200,-1815.25,195.829999999998,3
1.0,15,4,short,-1560.6600000000008,0.7595359156882685,184,-929.2400000000005,0.9078276653887549,201,-2992.870000000001,0.6462872135487455,213,1444.4599999999996,1.1703800600858474,196,-2992.870000000001,-4038.3100000000027,1
1.0,15,8,both,377.57999999999964,1.0440454429332835,258,-1334.8500000000008,0.9062356440122447,265,-1507.3100000000004,0.8581004050885066,269,1071.279999999999,1.0866550509683253,253,-1507.3100000000004,-1393.3000000000027,2
1.0,15,8,long,1135.7099999999998,1.211280732825336,196,-41.7900000000009,0.9957959184494696,196,-619.1800000000004,0.917168660595918,207,481.93999999999915,1.0527267615064226,194,-619.1800000000004,956.6799999999977,2
1.0,15,8,short,-902.0000000000005,0.8607283198616548,175,-1409.3000000000006,0.8673167921035931,195,-2437.9900000000007,0.710069248305658,201,2163.139999999999,1.25313472378739,189,-2437.9900000000007,-2586.150000000003,1
1.0,30,0,both,600.0999999999995,1.074086785613756,260,-1277.3500000000015,0.911132832882278,265,-1457.2800000000004,0.85798069220379,272,366.26999999999884,1.0286342165871596,252,-1457.2800000000004,-1768.2600000000036,2
1.0,30,0,long,768.2899999999993,1.134810424211797,204,260.64999999999895,1.0284115372750866,190,-1337.8800000000006,0.8258848394300795,212,330.5899999999991,1.038652386909703,184,-1337.8800000000006,21.649999999996794,3
1.0,30,0,short,-989.4800000000004,0.8341618425419085,177,-135.59000000000083,0.9864820135708263,191,-2033.0100000000002,0.7322411424672942,199,1083.0499999999988,1.1184904380552274,180,-2033.0100000000002,-2075.0300000000025,1
1.0,30,1,both,605.0999999999995,1.0729590809398468,260,-1631.1200000000013,0.8892275428931555,263,-1417.2800000000004,0.8646808502512505,272,567.5199999999987,1.0441045727252944,252,-1631.1200000000013,-1875.7800000000034,2
1.0,30,1,long,850.7699999999993,1.147057196688158,202,338.1099999999991,1.036600349213944,186,-1287.8900000000003,0.8333665421121818,211,225.57999999999913,1.0260097545227087,183,-1287.8900000000003,126.5699999999971,3
1.0,30,1,short,-945.7400000000002,0.8437191194307563,176,-384.3600000000008,0.9625757277753219,189,-2119.26,0.7283494543301091,199,1145.539999999999,1.124290144152003,179,-2119.26,-2303.8200000000024,1
1.0,30,2,both,293.8499999999992,1.0347703747177903,260,-1656.1300000000015,0.8890919513596554,262,-1437.2800000000002,0.8657358753539276,272,-269.98000000000104,0.9798090240903666,252,-1656.1300000000015,-3069.540000000003,1
1.0,30,2,long,571.9999999999992,1.0968623048148352,200,276.8499999999993,1.029596552538825,185,-1385.4100000000003,0.8238545990858407,209,69.32999999999925,1.0078501752220705,183,-1385.4100000000003,-467.2300000000025,3
1.0,30,2,short,-1113.2700000000004,0.8185834362686465,173,-613.1200000000007,0.9415538485883203,188,-2265.52,0.718705922085146,198,35.52999999999906,1.0036156888126337,178,-2265.52,-3956.380000000002,1
1.0,30,3,both,482.57999999999925,1.0570596171195403,258,-1208.6300000000012,0.9181768084466841,262,-1742.2800000000002,0.8428054448062405,272,-368.7300000000008,0.9727900845010556,252,-1742.2800000000002,-2837.060000000003,1
1.0,30,3,long,361.96999999999923,1.060717329021263,197,638.0499999999988,1.0704410389570242,180,-1345.4200000000003,0.8311928493279934,208,413.069999999999,1.047834495217361,182,-1345.4200000000003,67.66999999999678,3
1.0,30,3,short,-760.8200000000002,0.8732568696535813,168,-685.6200000000011,0.9350606420814843,188,-2620.5299999999997,0.6856992078103543,197,-19.480000000000928,0.9980540199273157,177,-2620.5299999999997,-4086.450000000002,0
1.0,30,4,both,617.5799999999992,1.0724011925012629,258,-796.1500000000017,0.9454458991747847,260,-1431.0300000000002,0.8703320282237128,272,311.26999999999896,1.0233093826873896,252,-1431.0300000000002,-1298.3300000000036,2
1.0,30,4,long,376.94999999999965,1.0636839908972189,195,633.0499999999988,1.0696199469038616,180,-992.9400000000004,0.8726826979050999,206,510.5399999999994,1.059569939897998,179,-992.9400000000004,527.5999999999974,3
1.0,30,4,short,-652.0900000000004,0.8917982082796132,166,-408.17000000000087,0.9603492475809029,183,-2521.8100000000004,0.6957602284503716,194,340.4899999999993,1.0349205828267736,174,-2521.8100000000004,-3241.580000000002,1
1.0,30,8,both,1008.8199999999995,1.1164246970571263,257,-1464.920000000002,0.9051679492889475,258,-1076.0800000000002,0.9044643610197405,267,-24.980000000000985,0.9982176316048593,252,-1464.920000000002,-1557.1600000000035,1
