or_minutes,offset_ticks,direction,bias,max_or_points,regime,target,trades,net,pf,win,maxdd
5,0,long,none,200,none,rr1.5,1563,-397.12000000000694,0.9957205125729336,41.8426103646833,-4226.839999999952
5,0,long,none,200,none,rr2.0,1563,-664.120000000009,0.993385701674151,37.42802303262956,-4721.999999999984
5,0,long,none,200,none,rr2.5,1563,5058.879999999992,1.0492686945969687,35.38067818298145,-3226.86
5,0,long,none,200,none,rr3.0,1563,6457.37999999999,1.0618395873798354,34.16506717850288,-2872.1000000000004
5,0,long,none,200,none,atr1.0,1550,10655.499999999989,1.1006983249990598,32.645161290322584,-2906.599999999981
5,0,long,none,200,none,atr1.5,1550,12566.999999999989,1.118646663306884,32.516129032258064,-2551.0999999999804
5,0,long,none,200,none,atr2.0,1550,14153.999999999993,1.1336297344191641,32.516129032258064,-2460.1000000000004
5,0,long,none,200,none,atr2.5,1550,15309.999999999993,1.1445436790983046,32.516129032258064,-2460.1000000000004
5,0,long,none,200,adx,rr1.0,987,-516.380000000003,0.9901205061772186,50.455927051671736,-2714.9199999999964
5,0,long,none,200,adx,rr1.5,987,3403.119999999995,1.0570805574005862,42.75582573454914,-3043.199999999995
5,0,long,none,200,adx,rr2.0,987,1845.1199999999935,1.0281671477923429,37.68996960486322,-3351.8799999999906
5,0,long,none,200,adx,rr2.5,987,6189.1199999999935,1.0921114591041383,35.56231003039514,-3137.599999999996
5,0,long,none,200,adx,rr3.0,987,6101.1199999999935,1.0889146159579142,34.04255319148936,-2827.599999999998
5,0,long,none,200,adx,atr1.0,987,9219.119999999992,1.1325541129773664,32.72543059777102,-2364.300000000001
5,0,long,none,200,adx,atr1.5,987,11373.619999999994,1.1635318892086917,32.72543059777102,-2284.519999999995
5,0,long,none,200,adx,atr2.0,987,13068.119999999992,1.1878957053256471,32.72543059777102,-2284.519999999995
5,0,long,none,200,adx,atr2.5,987,14224.119999999994,1.2045168746565416,32.72543059777102,-2284.519999999997
5,0,long,vwap_slope,0,none,rr1.0,863,-2984.1200000000026,0.9348280919812948,50.05793742757822,-4496.619999999919
5,0,long,vwap_slope,0,none,rr1.5,863,591.8799999999949,1.0114143512884823,42.294322132097335,-3129.8000000000015
5,0,long,vwap_slope,0,none,rr2.0,863,-128.62000000000467,0.9977181716704147,37.195828505214365,-3873.8799999999974
5,0,long,vwap_slope,0,none,rr2.5,863,4077.879999999994,1.0710962428766546,35.4577056778679,-2778.560000000001
5,0,long,vwap_slope,0,none,rr3.0,863,4710.379999999994,1.080874861485072,34.183082271147164,-2721.420000000001
5,0,long,vwap_slope,0,none,atr1.0,851,9869.759999999995,1.1682642785173971,33.01997649823737,-2771.29999999999
5,0,long,vwap_slope,0,none,atr1.5,851,11161.259999999995,1.1899787642697774,32.90246768507638,-2771.29999999999
5,0,long,vwap_slope,0,none,atr2.0,851,12141.259999999995,1.2066596039764397,32.90246768507638,-2771.29999999999
5,0,long,vwap_slope,0,none,atr2.5,851,12799.759999999995,1.2178681069834163,32.90246768507638,-2771.29999999999
5,0,long,vwap_slope,0,adx,rr1.0,533,476.07999999999765,1.017095870891845,51.40712945590994,-1750.1000000000006
5,0,long,vwap_slope,0,adx,rr1.5,533,4067.0799999999963,1.1287141873347983,43.90243902439025,-2110.4200000000005
5,0,long,vwap_slope,0,adx,rr2.0,533,3109.5799999999963,1.0890526610008922,37.89868667917448,-2096.8200000000006
5,0,long,vwap_slope,0,adx,rr2.5,533,6876.079999999997,1.1933650355313965,36.210131332082554,-2096.8200000000006
5,0,long,vwap_slope,0,adx,rr3.0,533,6950.079999999997,1.1923643044601988,34.8968105065666,-2190.6400000000003
5,0,long,vwap_slope,0,adx,atr1.0,533,11287.579999999998,1.3095924571606616,33.95872420262664,-2160.0400000000004
5,0,long,vwap_slope,0,adx,atr1.5,533,12422.579999999996,1.3407229066349822,33.95872420262664,-1982.0400000000004
5,0,long,vwap_slope,0,adx,atr2.0,533,13463.079999999998,1.3692614376288417,33.95872420262664,-1982.0400000000004
5,0,long,vwap_slope,0,adx,atr2.5,533,14121.58,1.3873225838657053,33.95872420262664,-1982.0400000000004
5,0,long,vwap_slope,130,none,rr1.0,842,-3764.0800000000027,0.9122408782813383,50.0,-5064.319999999903
5,0,long,vwap_slope,130,none,rr1.5,842,-419.5800000000038,0.9913797708339668,42.16152019002376,-3122.6000000000045
5,0,long,vwap_slope,130,none,rr2.0,842,-2092.580000000004,0.9606561309975716,36.935866983372925,-4421.219999999972
5,0,long,vwap_slope,130,none,rr2.5,842,1641.419999999995,1.0302973362885828,35.15439429928741,-3237.1800000000007
5,0,long,vwap_slope,130,none,rr3.0,842,2453.419999999995,1.0445568577482967,33.8479809976247,-2736.6000000000004
5,0,long,vwap_slope,130,none,atr1.0,830,7107.799999999994,1.128123503861839,32.65060240963855,-2771.29999999999
5,0,long,vwap_slope,130,none,atr1.5,830,7869.799999999994,1.1416198337589232,32.53012048192771,-2771.29999999999
5,0,long,vwap_slope,130,none,atr2.0,830,7856.299999999994,1.1413768964853273,32.53012048192771,-2771.29999999999
5,0,long,vwap_slope,130,none,atr2.5,830,7856.299999999994,1.1413768964853273,32.53012048192771,-2771.29999999999
5,0,long,vwap_slope,130,adx,rr1.0,518,-69.32000000000176,0.997319150976816,51.35135135135135,-1750.0600000000013
5,0,long,vwap_slope,130,adx,rr1.5,518,3514.6799999999967,1.1198533393532581,43.82239382239382,-1574.519999999999
5,0,long,vwap_slope,130,adx,rr2.0,518,1821.1799999999962,1.0557865213971165,37.64478764478765,-1778.4200000000003
5,0,long,vwap_slope,130,adx,rr2.5,518,5014.179999999997,1.1506339677918045,35.907335907335906,-1699.9599999999882
5,0,long,vwap_slope,130,adx,rr3.0,518,5267.679999999997,1.155586785071031,34.55598455598455,-1860.9199999999928
5,0,long,vwap_slope,130,adx,atr1.0,518,9100.179999999997,1.2661917431879663,33.59073359073359,-1644.14
5,0,long,vwap_slope,130,adx,atr1.5,518,9705.679999999997,1.2839033819138281,33.59073359073359,-1644.1399999999994
5,0,long,vwap_slope,130,adx,atr2.0,518,9752.679999999997,1.2852781911956044,33.59073359073359,-1644.1399999999994
5,0,long,vwap_slope,130,adx,atr2.5,518,9752.679999999997,1.2852781911956044,33.59073359073359,-1644.1399999999994
5,0,long,vwap_slope,200,none,rr1.0,861,-2990.140000000003,0.9340029840731717,50.05807200929152,-4020.439999999941
5,0,long,vwap_slope,200,none,rr1.5,861,690.359999999995,1.0134382449227002,42.27642276422765,-2648.560000000002
5,0,long,vwap_slope,200,none,rr2.0,861,-30.14000000000499,0.9994606862847547,37.16608594657375,-3392.640000000005
5,0,long,vwap_slope,200,none,rr2.5,861,4176.359999999995,1.073429291893901,35.4239256678281,-2350.920000000001
5,0,long,vwap_slope,200,none,rr3.0,861,4808.859999999994,1.0832536090598628,34.146341463414636,-2337.460000000001
5,0,long,vwap_slope,200,none,atr1.0,849,9968.239999999994,1.1713490282605636,32.97997644287397,-2771.29999999999
5,0,long,vwap_slope,200,none,atr1.5,849,11259.739999999994,1.1932378906035475,32.86219081272085,-2771.29999999999
5,0,long,vwap_slope,200,none,atr2.0,849,12239.739999999994,1.2100564967873029,32.86219081272085,-2771.29999999999
5,0,long,vwap_slope,200,none,atr2.5,849,12898.239999999994,1.2213575704322037,32.86219081272085,-2771.29999999999
5,0,long,vwap_slope,200,adx,rr1.0,532,957.3199999999979,1.0349815576900447,51.50375939849624,-1709.0800000000013
