rr,or_minutes,offset_ticks,direction,bias,max_or_points,trades,net,pf,win,maxdd
1.0,15,2,long,vwap_slope,130,168,3180.6799999999985,1.2853963918534057,57.14285714285714,-982.8600000000001
1.0,15,2,long,vwap_slope,180,204,3501.539999999998,1.2286776749398511,56.86274509803921,-1551.8400000000001
1.0,15,2,long,vwap_slope,250,217,3909.4199999999983,1.223784686048188,56.68202764976959,-1760.1999999999935
1.0,15,2,short,none,0,389,-720.8600000000033,0.9809860176566315,51.156812339331616,-6212.999999999982
1.0,15,2,short,none,90,168,277.6799999999989,1.0263373548827681,52.38095238095239,-1382.3600000000008
1.0,15,2,short,none,130,288,2713.8799999999974,1.1266059702439488,52.77777777777778,-3414.339999999994
1.0,15,2,short,none,180,352,-264.9800000000032,0.9916785531020609,50.85227272727273,-4995.4599999999955
1.0,15,2,short,none,250,385,-707.9000000000033,0.9811238546054162,50.90909090909091,-6609.779999999973
1.0,15,2,short,vwap,0,221,4139.959999999998,1.2056123781834216,56.10859728506787,-3090.679999999993
1.0,15,2,short,vwap,90,91,963.6599999999992,1.1745413051746934,56.043956043956044,-1080.3000000000004
1.0,15,2,short,vwap,130,157,3825.819999999999,1.351062228845349,57.961783439490446,-2027.179999999993
1.0,15,2,short,vwap,180,195,2427.199999999998,1.1447918021305963,55.38461538461539,-2739.3799999999756
1.0,15,2,short,vwap,250,219,4519.439999999998,1.2291219688274395,56.16438356164384,-3090.679999999993
1.0,15,2,short,vwap_slope,0,220,5858.199999999998,1.3053006259022413,56.81818181818182,-2537.979999999994
1.0,15,2,short,vwap_slope,90,91,481.6599999999994,1.082105988081114,52.74725274725275,-904.1000000000001
1.0,15,2,short,vwap_slope,130,157,4523.819999999999,1.4245191125658525,57.961783439490446,-1744.2799999999952
1.0,15,2,short,vwap_slope,180,193,4511.1799999999985,1.2919638396081585,56.476683937823836,-2128.4999999999945
1.0,15,2,short,vwap_slope,250,218,6237.6799999999985,1.3321703048583056,56.88073394495413,-2568.2399999999943
1.0,15,4,both,none,0,523,3985.479999999996,1.0792596902940153,53.53728489483748,-6338.459999999983
1.0,15,4,both,none,90,224,1749.239999999998,1.1284720896140636,54.01785714285714,-2383.599999999992
1.0,15,4,both,none,130,388,6134.8799999999965,1.216977561923813,55.154639175257735,-1902.879999999992
1.0,15,4,both,none,180,470,1155.1999999999975,1.0275339085136312,52.97872340425533,-4004.0599999999877
1.0,15,4,both,none,250,514,3007.639999999996,1.0618167841970154,53.30739299610895,-5694.719999999983
1.0,15,4,both,vwap,0,470,6903.699999999997,1.1618784911256061,55.74468085106383,-5864.579999999985
1.0,15,4,both,vwap,90,202,3034.519999999998,1.2616669311056077,56.930693069306926,-1867.379999999992
1.0,15,4,both,vwap,130,346,6850.459999999997,1.2835014087211591,56.936416184971094,-1359.3199999999852
1.0,15,4,both,vwap,180,421,3791.9599999999973,1.1070317677702268,55.10688836104512,-3793.699999999977
1.0,15,4,both,vwap,250,462,6543.619999999997,1.159531616838584,55.62770562770562,-5220.839999999986
1.0,15,4,both,vwap_slope,0,443,9925.679999999997,1.2588160933207335,56.43340857787811,-4474.8599999999915
1.0,15,4,both,vwap_slope,90,186,1499.3599999999988,1.1315472701941063,53.2258064516129,-1760.6799999999967
1.0,15,4,both,vwap_slope,130,325,7490.499999999997,1.3376441315146543,56.92307692307692,-1709.7599999999893
1.0,15,4,both,vwap_slope,180,397,7782.719999999997,1.24937613670008,56.17128463476071,-2531.3200000000006
1.0,15,4,both,vwap_slope,250,435,9565.599999999995,1.2604968328404216,56.32183908045977,-3831.1199999999917
1.0,15,4,long,none,0,398,8319.479999999996,1.2537838114854112,56.28140703517588,-1985.859999999997
1.0,15,4,long,none,90,180,3017.2999999999993,1.3160972523120893,57.22222222222222,-836.8800000000001
1.0,15,4,long,none,130,300,4034.9999999999973,1.1974922642745058,56.00000000000001,-1549.0800000000004
1.0,15,4,long,none,180,363,4978.3799999999965,1.1793920306723262,55.9228650137741,-2536.78
1.0,15,4,long,none,250,391,6960.159999999997,1.2205179645138986,56.01023017902813,-2128.5200000000004
1.0,15,4,long,vwap,0,249,3069.739999999998,1.1373231088290574,55.42168674698795,-2806.1199999999917
1.0,15,4,long,vwap,90,111,2032.3599999999994,1.3375295618207426,57.65765765765766,-1286.9799999999952
1.0,15,4,long,vwap,130,189,2961.1399999999985,1.2249692685691538,56.08465608465608,-2140.9599999999937
1.0,15,4,long,vwap,180,226,1318.259999999998,1.0711708151392245,54.86725663716814,-2987.139999999995
1.0,15,4,long,vwap,250,243,2328.1799999999976,1.1101567246238018,55.144032921810705,-2170.9200000000005
1.0,15,4,long,vwap_slope,0,223,4366.479999999998,1.2297117292666653,56.05381165919282,-2244.8999999999924
1.0,15,4,long,vwap_slope,90,95,991.1999999999994,1.1811714731697331,53.68421052631579,-1140.0800000000002
1.0,15,4,long,vwap_slope,130,168,2905.1799999999985,1.254265799386649,55.952380952380956,-1185.5800000000002
1.0,15,4,long,vwap_slope,180,204,3216.039999999998,1.2058647685010335,55.88235294117647,-1758.5600000000002
1.0,15,4,long,vwap_slope,250,217,3624.9199999999983,1.2037669327031504,55.76036866359447,-1778.1999999999935
1.0,15,4,short,none,0,389,-1070.8600000000033,0.9719967782932271,51.156812339331616,-6274.999999999986
1.0,15,4,short,none,90,168,306.1799999999989,1.0286881482661367,52.38095238095239,-1400.3600000000008
1.0,15,4,short,none,130,288,2760.3799999999974,1.127405250773788,52.77777777777778,-3445.339999999991
1.0,15,4,short,none,180,352,-245.4800000000032,0.9923627643383276,50.85227272727273,-5043.4599999999955
1.0,15,4,short,none,250,385,-1053.9000000000033,0.9721410547118065,50.90909090909091,-6668.779999999982
1.0,15,4,short,vwap,0,221,3833.959999999998,1.1889275661696874,56.10859728506787,-3113.679999999993
1.0,15,4,short,vwap,90,91,1002.1599999999992,1.1797402970083937,56.043956043956044,-1096.3000000000004
1.0,15,4,short,vwap,130,157,3889.319999999999,1.3535314788925712,57.961783439490446,-2049.179999999993
1.0,15,4,short,vwap,180,195,2473.699999999998,1.1463218714435446,55.38461538461539,-2768.3799999999756
1.0,15,4,short,vwap,250,219,4215.439999999998,1.2120171768798151,56.16438356164384,-3113.679999999993
1.0,15,4,short,vwap_slope,0,220,5559.199999999998,1.2874189579046407,56.81818181818182,-2561.979999999994
1.0,15,4,short,vwap_slope,90,91,508.1599999999994,1.085739064118701,52.74725274725275,-917.1000000000001
1.0,15,4,short,vwap_slope,130,157,4585.319999999999,1.4261909276464746,57.961783439490446,-1763.2799999999952
1.0,15,4,short,vwap_slope,180,193,4566.6799999999985,1.2929864384030956,56.476683937823836,-2149.4999999999945
1.0,15,4,short,vwap_slope,250,218,5940.6799999999985,1.3138059886768085,56.88073394495413,-2591.2399999999943
1.0,30,0,both,none,0,521,12186.959999999995,1.238597425480887,56.813819577735124,-3434.3199999999797
1.0,30,0,both,none,90,122,2100.22,1.3139708366595808,56.557377049180324,-1168.9600000000003
1.0,30,0,both,none,130,263,8088.379999999999,1.4842349650550604,58.935361216730044,-841.2599999999948
1.0,30,0,both,none,180,399,4543.239999999996,1.1324772966378258,55.639097744360896,-2431.5999999999913
1.0,30,0,both,none,250,488,9389.879999999996,1.2058298600470585,56.35245901639344,-2673.839999999991
1.0,30,0,both,vwap,0,452,9406.519999999997,1.211456980796829,57.30088495575221,-3617.7999999999956
1.0,30,0,both,vwap,90,103,1974.2800000000004,1.3738940064238532,58.252427184466015,-891.5200000000002
1.0,30,0,both,vwap,130,227,7253.519999999998,1.5202415618320828,60.352422907488986,-935.1999999999989
1.0,30,0,both,vwap,180,345,4336.699999999997,1.149466645987351,56.52173913043478,-2142.9399999999932
1.0,30,0,both,vwap,250,423,6528.479999999996,1.1643483869213676,56.73758865248227,-2559.3399999999965
1.0,30,0,both,vwap_slope,0,408,11150.079999999998,1.2939006691398074,57.35294117647059,-3583.319999999996
1.0,30,0,both,vwap_slope,90,84,590.8399999999992,1.1168106601292975,52.38095238095239,-1044.1400000000003
1.0,30,0,both,vwap_slope,130,199,8463.24,1.756594874288841,60.30150753768844,-879.4399999999932
1.0,30,0,both,vwap_slope,180,311,7478.859999999997,1.307820659725652,56.91318327974276,-1996.4999999999945
1.0,30,0,both,vwap_slope,250,382,9214.319999999998,1.273107034440405,57.06806282722513,-2524.859999999997
1.0,30,0,long,none,0,365,9260.399999999998,1.2960959232613904,58.9041095890411,-1958.659999999998
1.0,30,0,long,none,90,92,1006.9199999999994,1.1984430736485288,56.52173913043478,-940.6600000000001
1.0,30,0,long,none,130,192,4628.919999999998,1.3898379310693314,58.854166666666664,-907.1800000000001
1.0,30,0,long,none,180,291,5087.159999999998,1.2368156443305685,57.73195876288659,-1817.4000000000003
1.0,30,0,long,none,250,345,6476.199999999997,1.2249339737061833,58.26086956521739,-1817.4000000000003
1.0,30,0,long,vwap,0,248,3439.9799999999977,1.1459056680440125,59.2741935483871,-2862.6399999999976
1.0,30,0,long,vwap,90,60,1461.5999999999997,1.4977320093171518,61.66666666666667,-517.1600000000001
1.0,30,0,long,vwap,130,134,3767.84,1.4604202613069257,61.19402985074627,-907.1800000000001
1.0,30,0,long,vwap,180,198,1853.9799999999982,1.1171927544513498,58.080808080808076,-2499.0399999999877
1.0,30,0,long,vwap,250,233,1402.0799999999979,1.0657658232360567,58.36909871244635,-2482.579999999999
1.0,30,0,long,vwap_slope,0,218,3010.679999999998,1.1482740075765179,58.256880733944946,-2813.3999999999924
1.0,30,0,long,vwap_slope,90,48,181.97999999999956,1.0614946878970566,54.166666666666664,-713.6200000000001
1.0,30,0,long,vwap_slope,130,112,3582.619999999999,1.5350548104782105,59.82142857142857,-705.4399999999994
1.0,30,0,long,vwap_slope,180,174,3191.239999999998,1.2394071611191801,57.47126436781609,-1718.3200000000002
1.0,30,0,long,vwap_slope,250,204,2538.039999999998,1.1415752875249472,57.84313725490197,-1718.3200000000002
1.0,30,0,short,none,0,336,5295.359999999998,1.154339216575517,51.78571428571429,-2985.9999999999945
1.0,30,0,short,none,90,81,791.5599999999994,1.1674777206983813,51.85185185185185,-843.4000000000001
1.0,30,0,short,none,130,170,5313.699999999999,1.5000894075572913,55.88235294117647,-1145.859999999997
1.0,30,0,short,none,180,257,2594.319999999998,1.1153109010030897,50.583657587548636,-1775.5199999999975
1.0,30,0,short,none,250,317,5559.419999999997,1.1843142793488122,51.73501577287066,-2768.659999999998
1.0,30,0,short,vwap,0,204,5966.539999999999,1.2853768824512446,54.90196078431373,-1980.0599999999904
1.0,30,0,short,vwap,90,43,512.6799999999997,1.2187388002389292,53.48837209302325,-1019.6600000000001
1.0,30,0,short,vwap,130,93,3485.6800000000003,1.6052452458014423,59.13978494623656,-1366.1799999999985
1.0,30,0,short,vwap,180,147,2482.7199999999984,1.188162108987175,54.421768707483,-1881.3999999999978
1.0,30,0,short,vwap,250,190,5126.4,1.2785460227970442,54.736842105263165,-1773.8799999999974
1.0,30,0,short,vwap_slope,0,190,8139.4,1.4615894137382308,56.315789473684205,-2078.139999999992
1.0,30,0,short,vwap_slope,90,36,408.85999999999973,1.1948046997836883,50.0,-767.6600000000001
1.0,30,0,short,vwap_slope,130,87,4880.620000000001,2.0869590393215387,60.91954022988506,-659.0599999999959
1.0,30,0,short,vwap_slope,180,137,4287.619999999999,1.3909778961190549,56.20437956204379,-1362.7599999999948
