rr,or_minutes,offset_ticks,direction,net1,pf1,tr1,net2,pf2,tr2,min_net,sum_net,n_pos
1.0,5,8,both,-442.9400000000014,0.9748078196200293,256,-1764.0800000000017,0.9221556780533093,267,-1764.0800000000017,-2207.020000000003,0
1.0,5,8,long,472.6399999999985,1.0345252774352653,214,1058.4199999999983,1.0634803157162394,217,472.6399999999985,1531.0599999999968,2
1.0,5,8,short,-1035.320000000001,0.9314703441044982,218,-6086.540000000001,0.7059324294029882,221,-6086.540000000001,-7121.860000000002,0
1.0,10,0,both,3439.559999999998,1.1717835410315516,256,-2413.5800000000013,0.9096101098499432,267,-2413.5800000000013,1025.9799999999968,1
1.0,10,0,long,3232.779999999999,1.221376283117968,203,4860.6,1.2912310723170495,210,3232.779999999999,8093.379999999999,2
1.0,10,0,short,2006.2599999999986,1.127265553438262,201,-5275.9000000000015,0.7624923470306475,210,-5275.9000000000015,-3269.640000000003,1
1.0,10,1,both,3438.059999999998,1.1707831747233384,256,-2425.0800000000017,0.9096278729003615,267,-2425.0800000000017,1012.9799999999964,1
1.0,10,1,long,3250.279999999999,1.2212640235268488,203,4865.599999999999,1.2900188593322692,210,3250.279999999999,8115.879999999998,2
1.0,10,1,short,1992.7599999999984,1.1257193615993075,201,-5647.4000000000015,0.749019391734003,210,-5647.4000000000015,-3654.640000000003,1
1.0,10,2,both,3201.559999999998,1.1571365607198847,256,-2436.5800000000017,0.9096454613956082,267,-2436.5800000000017,764.9799999999964,1
1.0,10,2,long,3002.279999999999,1.20134881737045,203,4870.599999999999,1.2888191538819143,210,3002.279999999999,7872.879999999998,2
1.0,10,2,short,1851.7599999999984,1.1161516942029523,201,-5668.4000000000015,0.7493171718887093,210,-5668.4000000000015,-3816.640000000003,1
1.0,10,3,both,3228.559999999998,1.1576146706580983,256,-2448.0800000000017,0.9096628778960995,267,-2448.0800000000017,780.4799999999964,1
1.0,10,3,long,3017.779999999999,1.2012076003077676,203,4875.599999999999,1.2876317633816368,210,3017.779999999999,7893.379999999998,2
1.0,10,3,short,1566.2599999999984,1.0967433896814294,201,-5689.4000000000015,0.7496120558005906,210,-5689.4000000000015,-4123.140000000003,1
1.0,10,4,both,2999.059999999998,1.1447169944247193,256,-2459.5800000000017,0.9096809209125106,267,-2459.5800000000017,539.4799999999964,1
1.0,10,4,long,3033.279999999999,1.2010680214028522,203,4880.599999999999,1.2864524641274127,210,3033.279999999999,7913.879999999998,2
1.0,10,4,short,1348.2599999999984,1.0822983925608785,201,-5710.4000000000015,0.7499040855189276,210,-5710.4000000000015,-4362.140000000003,1
1.0,10,8,both,3437.0599999999977,1.1637269061918838,256,-3295.0800000000017,0.8817754139015822,267,-3295.0800000000017,141.97999999999593,1
1.0,10,8,long,2916.7599999999984,1.1899352721305492,201,4584.599999999999,1.2654648965146649,210,2916.7599999999984,7501.359999999998,2
1.0,10,8,short,1704.9999999999982,1.103162396368683,200,-5573.660000000002,0.7575678755665355,209,-5573.660000000002,-3868.6600000000035,1
1.0,15,0,both,6161.059999999998,1.2911904521088298,256,-1020.5800000000017,0.963461874443289,267,-1020.5800000000017,5140.479999999996,1
1.0,15,0,long,4936.419999999998,1.343673766054381,192,4261.559999999998,1.2436204525108296,206,4261.559999999998,9197.979999999996,2
1.0,15,0,short,2231.6799999999985,1.1348823659535168,193,-2645.540000000002,0.8742746725393034,196,-2645.540000000002,-413.8600000000033,1
1.0,15,1,both,6189.059999999998,1.2911035771198287,256,-1047.0800000000017,0.9626814817349252,267,-1047.0800000000017,5141.979999999996,1
1.0,15,1,long,4949.919999999998,1.3427879707870671,192,4248.559999999998,1.2417509383115621,206,4248.559999999998,9198.479999999996,2
1.0,15,1,short,2239.6799999999985,1.1346902103512186,193,-2755.040000000002,0.8696531357073298,196,-2755.040000000002,-515.3600000000033,1
1.0,15,2,both,5953.559999999998,1.2769365594438902,256,-1300.5800000000017,0.9538538287080007,267,-1300.5800000000017,4652.979999999996,1
1.0,15,2,long,4567.419999999998,1.3114682327525065,192,4072.059999999998,1.2306381763993555,206,4072.059999999998,8639.479999999996,2
1.0,15,2,short,2277.1799999999985,1.1365061971432475,193,-2998.040000000002,0.858784317826192,196,-2998.040000000002,-720.8600000000033,1
1.0,15,3,both,5981.559999999998,1.2769058700770595,256,-1356.5800000000017,0.9520811079649817,267,-1356.5800000000017,4624.979999999996,1
1.0,15,3,long,4576.919999999998,1.3104646808880107,192,4029.559999999998,1.2271823159565922,206,4029.559999999998,8606.479999999996,2
1.0,15,3,short,2285.6799999999985,1.1363414573041173,193,-3015.540000000002,0.8585861522719227,196,-3015.540000000002,-729.8600000000033,1
1.0,15,4,both,5371.559999999998,1.2458643168192838,256,-1386.0800000000017,0.9512564284347815,267,-1386.0800000000017,3985.479999999996,1
