or_minutes,offset_ticks,direction,bias,max_or_points,regime,target,trades,net,pf,win,maxdd,seg1,seg2,seg3,seg4,seg5,min_seg,n_pos,min_seg_trades
10,2,both,vwap_slope,130,adx,atr2.0,947,24407.71999999999,1.3527362664964049,40.65469904963041,-2516.319999999996,1783.939999999999,1962.1599999999985,4215.759999999998,7180.999999999999,7121.599999999999,1783.939999999999,5,135
10,1,both,vwap_slope,130,adx,atr2.5,948,25443.98,1.3687247972403296,40.29535864978903,-2499.819999999996,1776.9399999999987,2090.6599999999985,4023.5199999999986,7613.499999999999,7756.099999999999,1776.9399999999987,5,135
60,2,both,vwap_slope,200,adx,rr1.0,690,12141.399999999994,1.2815544652311053,56.376811594202906,-1366.9599999999991,2020.7999999999993,1771.9999999999989,1978.2799999999988,2268.6999999999994,3667.34,1771.9999999999989,5,84
15,0,long,vwap_slope,130,none,rr2.0,704,13430.039999999994,1.3024666612014129,46.30681818181818,-1905.4199999999817,1845.8799999999992,1755.139999999999,2793.159999999999,3500.2999999999993,3535.5599999999995,1755.139999999999,5,106
60,0,both,vwap_slope,200,adx,atr2.5,691,12038.159999999993,1.2716215850323556,54.41389290882779,-1701.1199999999917,2260.559999999999,2389.499999999999,1737.779999999999,3439.699999999999,2388.84,1737.779999999999,5,84
60,0,both,vwap_slope,200,adx,atr2.0,691,11808.659999999993,1.2664432891993609,54.41389290882779,-1701.1199999999917,2260.559999999999,2389.499999999999,1737.779999999999,3210.199999999999,2388.84,1737.779999999999,5,84
60,0,both,vwap_slope,200,adx,atr1.5,691,11600.659999999993,1.2617501060478882,54.41389290882779,-1701.1199999999917,2284.059999999999,2389.499999999999,1737.779999999999,2980.699999999999,2386.84,1737.779999999999,5,84
15,2,both,vwap_slope,200,adx,atr1.0,965,24614.39999999999,1.3161623188524938,44.870466321243526,-2652.1400000000003,1736.3199999999993,4905.939999999999,2435.8399999999983,5059.719999999999,8930.859999999999,1736.3199999999993,5,161
60,1,both,vwap_slope,200,adx,atr1.0,691,11603.659999999993,1.260458837588696,54.26917510853835,-1611.1199999999917,2237.059999999999,2486.499999999999,1733.779999999999,3192.199999999999,2149.84,1733.779999999999,5,84
15,1,long,none,130,none,rr3.0,1260,14929.099999999988,1.1769072054512983,43.96825396825397,-3595.2599999999893,1728.1799999999985,3829.399999999998,2250.359999999998,4430.459999999997,2690.699999999998,1728.1799999999985,5,195
15,2,both,vwap_slope,130,none,rr1.5,1348,20660.97999999999,1.2370169946661085,47.18100890207715,-1890.4999999999943,1720.1599999999994,2731.4799999999977,2302.0999999999976,5259.419999999998,8647.82,1720.1599999999994,5,207
15,0,long,none,130,none,rr3.0,1262,15522.119999999988,1.185131134135904,43.89857369255151,-3559.7599999999893,1719.6999999999985,3981.399999999998,2400.859999999998,4611.959999999998,2808.199999999998,1719.6999999999985,5,195
15,1,long,vwap_slope,130,none,rr2.0,703,13097.279999999995,1.2933454100275084,46.372688477951634,-1973.9199999999817,1938.6199999999994,1714.639999999999,2724.659999999999,3481.7999999999993,3237.5599999999995,1714.639999999999,5,106
15,2,long,vwap_slope,130,none,rr2.0,702,13519.519999999997,1.3033985887874082,46.72364672364672,-2005.4199999999817,2157.1199999999994,1659.639999999999,2878.159999999999,3617.539999999999,3207.0599999999995,1659.639999999999,5,106
60,1,both,vwap_slope,200,adx,atr1.5,691,11183.659999999993,1.251031405917374,54.26917510853835,-1727.6199999999917,2188.559999999999,2315.499999999999,1659.279999999999,2879.199999999999,2337.34,1659.279999999999,5,84
60,1,both,vwap_slope,200,adx,atr2.5,691,11619.659999999993,1.2608179778428417,54.26917510853835,-1727.6199999999917,2164.059999999999,2315.499999999999,1659.279999999999,3338.199999999999,2338.84,1659.279999999999,5,84
60,1,both,vwap_slope,200,adx,atr2.0,691,11390.159999999993,1.2556665598224406,54.26917510853835,-1727.6199999999917,2164.059999999999,2315.499999999999,1659.279999999999,3108.699999999999,2338.84,1659.279999999999,5,84
60,2,both,vwap_slope,200,adx,atr1.0,690,11253.899999999994,1.2516238085549274,54.34782608695652,-1637.1199999999917,2202.2999999999993,2413.999999999999,1656.779999999999,3094.199999999999,2100.34,1656.779999999999,5,84
15,0,both,vwap_slope,130,none,rr2.5,1351,32416.259999999995,1.3577422951827014,44.04145077720207,-3126.00000000008,1653.4199999999992,4878.979999999998,6326.859999999998,8666.179999999998,10890.82,1653.4199999999992,5,207
15,1,both,vwap_slope,130,adx,rr1.5,863,15500.379999999996,1.2688665074090857,48.8991888760139,-1599.42,1627.739999999999,3006.999999999999,1791.9599999999987,2333.6199999999994,4460.38,1627.739999999999,5,113
60,0,both,vwap_slope,200,adx,rr3.0,691,11387.159999999993,1.256932824303468,54.41389290882779,-1701.1199999999917,2233.059999999999,2409.999999999999,1613.779999999999,2919.699999999999,2388.84,1613.779999999999,5,84
10,0,both,vwap_slope,130,adx,atr2.0,948,24905.97999999999,1.3636409561723672,40.18987341772152,-2483.319999999996,1612.9399999999987,2218.6599999999985,4160.519999999999,7367.999999999999,7322.599999999999,1612.9399999999987,5,135
