rr,or_minutes,offset_ticks,direction,bias,max_or_points,regime,trades,net,pf,win,maxdd,seg1,seg2,seg3,seg4,seg5,min_seg,n_pos,min_seg_trades
2.0,15,2,long,vwap,130,none,781,14805.559999999996,1.2923930134833403,46.478873239436616,-2808.8399999999965,2095.1999999999994,1900.679999999999,4628.299999999998,3666.6799999999985,2514.699999999999,1900.679999999999,5,120
1.5,30,0,both,vwap_slope,200,none,1316,18063.15999999999,1.1886956599860308,50.0,-3018.2999999999956,2887.6799999999985,1891.219999999998,3614.7999999999975,7577.499999999998,2091.959999999998,1891.219999999998,5,221
1.25,60,1,both,vwap_slope,200,adx,691,12890.159999999994,1.2951691327905703,55.42691751085383,-1468.1199999999917,2486.5599999999986,2109.999999999999,1889.279999999999,2686.6999999999994,3758.34,1889.279999999999,5,84
2.0,15,1,long,none,130,none,1260,14241.599999999991,1.1725478184845801,45.3968253968254,-3543.159999999987,1879.6799999999985,4037.899999999998,1968.3599999999976,2971.959999999998,3383.699999999998,1879.6799999999985,5,195
2.0,15,1,long,vwap,130,none,782,14529.319999999996,1.286678739438462,46.16368286445013,-2782.3399999999965,1876.6999999999991,1964.679999999999,4465.299999999998,3562.4399999999987,2660.199999999999,1876.6999999999991,5,120
1.5,30,1,both,none,130,none,1370,19765.69999999999,1.2248831024736604,48.68613138686131,-1817.03999999999,2260.7999999999984,3818.0999999999976,2492.9199999999983,9327.819999999998,1866.0599999999986,1866.0599999999986,5,156
2.5,15,2,long,none,130,none,1259,15025.33999999999,1.1788512072570168,44.63860206513105,-3583.7599999999893,1851.179999999999,3948.899999999998,2166.859999999998,3952.199999999999,3106.199999999998,1851.179999999999,5,195
1.25,60,2,both,vwap_slope,200,adx,690,12235.399999999994,1.278676300101445,55.362318840579704,-1485.6199999999917,2478.8,2061.499999999999,1844.279999999999,2237.6999999999994,3665.34,1844.279999999999,5,84
2.0,15,0,long,none,130,none,1262,14905.119999999988,1.181751802565844,45.32488114104596,-3512.659999999987,1820.6999999999985,4133.399999999998,2064.359999999998,3166.959999999998,3719.699999999998,1820.6999999999985,5,195
2.5,15,2,long,vwap_slope,130,none,702,15778.019999999997,1.3516034057664843,46.2962962962963,-2275.859999999997,1844.6199999999992,1808.139999999999,3377.159999999999,4970.039999999999,3778.0599999999995,1808.139999999999,5,106
1.5,30,2,both,none,130,none,1369,19602.939999999988,1.2218004371528803,48.72169466764061,-1888.53999999999,2238.539999999998,3723.0999999999976,2400.9199999999983,9432.319999999998,1808.0599999999986,1808.0599999999986,5,156
2.5,15,1,both,vwap_slope,130,none,1350,32418.999999999993,1.3560611785131866,44.148148148148145,-3163.50000000008,1784.1599999999987,5000.979999999998,6179.859999999998,8609.679999999998,10844.32,1784.1599999999987,5,207
2.0,15,0,long,vwap,130,none,783,15024.079999999996,1.2981365769404172,46.10472541507024,-2770.3399999999965,1780.4599999999994,2021.6799999999985,4524.299999999998,3734.4399999999987,2963.199999999999,1780.4599999999994,5,120
1.0,60,2,both,vwap_slope,200,adx,690,12141.399999999994,1.2815544652311053,56.376811594202906,-1366.9599999999991,2020.7999999999993,1771.9999999999989,1978.2799999999988,2268.6999999999994,3667.34,1771.9999999999989,5,84
2.0,15,2,both,vwap,200,none,1594,16788.439999999988,1.1341386769645314,44.10288582183187,-2795.84000000002,1755.5999999999997,2599.2599999999975,3195.7999999999975,5488.479999999998,3749.2999999999975,1755.5999999999997,5,305
2.0,15,0,long,vwap_slope,130,none,704,13430.039999999994,1.3024666612014129,46.30681818181818,-1905.4199999999819,1845.8799999999992,1755.139999999999,2793.159999999999,3500.2999999999993,3535.5599999999995,1755.139999999999,5,106
2.0,15,1,both,vwap,200,adx,1016,12963.65999999999,1.1560369992157025,45.177165354330704,-2654.36,1736.119999999999,3811.5999999999985,2824.1799999999985,2304.779999999999,2619.959999999998,1736.119999999999,5,171
3.0,15,1,long,none,130,none,1260,14929.099999999988,1.1769072054512983,43.96825396825397,-3595.2599999999893,1728.1799999999985,3829.399999999998,2250.359999999998,4430.459999999997,2690.699999999998,1728.1799999999985,5,195
1.5,15,2,both,vwap_slope,130,none,1348,20660.97999999999,1.2370169946661085,47.18100890207715,-1890.4999999999945,1720.1599999999994,2731.4799999999977,2302.0999999999976,5259.419999999998,8647.82,1720.1599999999994,5,207
3.0,15,0,long,none,130,none,1262,15522.119999999988,1.1851311341359039,43.89857369255151,-3559.7599999999893,1719.6999999999985,3981.399999999998,2400.859999999998,4611.959999999998,2808.199999999998,1719.6999999999985,5,195
2.0,15,1,long,vwap_slope,130,none,703,13097.279999999997,1.2933454100275084,46.372688477951634,-1973.9199999999819,1938.6199999999994,1714.639999999999,2724.659999999999,3481.7999999999993,3237.5599999999995,1714.639999999999,5,106
3.0,15,1,both,vwap,200,none,1596,21398.95999999999,1.1681365448240812,42.4812030075188,-3085.059999999996,1709.5999999999995,2266.7599999999975,5626.559999999997,7070.739999999998,4725.2999999999965,1709.5999999999995,5,305
1.25,60,0,both,vwap_slope,200,none,1082,16636.819999999992,1.2557346074138473,53.97412199630314,-2218.680000000022,3122.2200000000003,2293.2199999999975,4344.419999999998,5191.379999999999,1685.5799999999986,1685.5799999999986,5,158
2.0,30,0,both,vwap,130,none,1174,19463.73999999999,1.2643635509182356,48.040885860306645,-2478.3599999999587,2277.079999999998,5261.439999999998,1726.759999999998,8533.619999999999,1664.8399999999988,1664.8399999999988,5,134
2.0,15,2,long,vwap_slope,130,none,702,13519.519999999997,1.3033985887874082,46.72364672364672,-2005.4199999999819,2157.1199999999994,1659.639999999999,2878.159999999999,3617.539999999999,3207.0599999999995,1659.639999999999,5,106
2.5,15,0,both,vwap_slope,130,none,1351,32416.259999999995,1.3577422951827014,44.04145077720207,-3126.00000000008,1653.4199999999992,4878.979999999998,6326.859999999998,8666.179999999998,10890.82,1653.4199999999992,5,207
