rr,or_minutes,offset_ticks,direction,bias,max_or_points,trades,net,pf,win,maxdd,seg1,seg2,seg3,seg4,min_seg,n_pos,min_seg_trades
1.25,30,2,long,none,250,345,8332.699999999997,1.2781065246747072,56.811594202898554,-1951.4199999999983,1108.6399999999992,3180.3600000000006,1635.6199999999992,2408.08,1108.6399999999992,4,83
2.5,15,0,long,vwap_slope,250,217,6435.419999999999,1.329204099359436,50.23041474654379,-1697.659999999998,1107.5599999999995,1693.5199999999995,2275.0200000000004,1359.3199999999995,1107.5599999999995,4,52
2.5,15,0,long,vwap_slope,180,204,6660.039999999999,1.3911403139909926,50.49019607843137,-1591.9199999999985,1107.5599999999995,2016.7399999999996,2144.9799999999996,1390.7599999999995,1107.5599999999995,4,48
2.5,30,2,both,none,0,521,11479.459999999997,1.203260177475022,50.67178502879079,-4914.999999999984,3340.5599999999986,4500.760000000002,1098.2599999999984,2539.8799999999987,1098.2599999999984,4,126
2.5,15,1,long,vwap_slope,250,217,6352.419999999999,1.323287913841731,50.23041474654379,-1705.159999999998,1095.5599999999995,1672.5199999999995,2253.0200000000004,1331.3199999999995,1095.5599999999995,4,52
2.5,15,1,long,vwap_slope,180,204,6586.039999999999,1.3846482703197704,50.49019607843137,-1598.9199999999987,1095.5599999999995,1998.2399999999996,2125.9799999999996,1366.2599999999995,1095.5599999999995,4,48
2.5,15,4,both,vwap,180,421,7975.959999999996,1.1930397868225961,45.36817102137768,-2859.8399999999965,1686.659999999999,4028.2199999999993,1087.559999999999,1173.519999999999,1087.559999999999,4,97
2.5,15,2,long,vwap_slope,250,217,6274.919999999999,1.3177107119747322,50.23041474654379,-1712.659999999998,1083.5599999999995,1651.5199999999995,2231.0200000000004,1308.8199999999995,1083.5599999999995,4,52
2.5,15,2,long,vwap_slope,180,204,6517.539999999999,1.3785473165269224,50.49019607843137,-1605.9199999999987,1083.5599999999995,1979.7399999999996,2106.9799999999996,1347.2599999999995,1083.5599999999995,4,48
3.0,30,2,short,none,250,317,6468.919999999998,1.187260999729627,42.90220820189275,-4126.759999999995,2287.3599999999997,1080.5399999999995,1408.7599999999993,1692.2599999999993,1080.5399999999995,4,76
2.5,15,0,both,vwap,130,346,12202.459999999997,1.429049818112519,46.82080924855491,-2525.53999999999,3891.58,5987.02,1253.479999999999,1070.3799999999994,1070.3799999999994,4,63
2.5,15,4,long,vwap_slope,180,204,6380.539999999999,1.3665401310241334,50.0,-1619.9199999999987,1059.5599999999995,1942.7399999999996,2068.9799999999996,1309.2599999999995,1059.5599999999995,4,48
2.5,15,4,long,vwap_slope,250,217,6119.919999999999,1.3067220110000366,49.76958525345622,-1727.659999999998,1059.5599999999995,1609.5199999999995,2187.0200000000004,1263.8199999999995,1059.5599999999995,4,52
2.5,30,1,both,none,250,488,9184.379999999996,1.181735542194184,50.0,-4285.019999999984,3770.779999999999,1058.939999999999,1544.699999999999,2809.959999999998,1058.939999999999,4,119
2.5,15,0,long,none,0,398,10245.479999999996,1.276037956471837,48.49246231155779,-2295.519999999995,1058.739999999999,5529.9400000000005,2419.2199999999993,1237.579999999999,1058.739999999999,4,94
1.25,15,0,both,none,130,388,9787.879999999997,1.3398755903969728,52.83505154639175,-1581.3399999999965,2917.42,4552.639999999999,1056.579999999999,1261.2399999999993,1056.579999999999,4,74
1.25,15,2,both,none,130,388,9344.879999999997,1.3190613705099512,52.57731958762887,-1601.8399999999965,2436.42,4599.639999999999,1052.579999999999,1256.2399999999993,1052.579999999999,4,74
1.25,30,4,long,none,0,365,10732.899999999998,1.3266109620338982,56.71232876712329,-1984.659999999998,1090.3999999999992,6349.9,1052.3999999999992,2240.2000000000007,1052.3999999999992,4,90
1.25,15,1,both,none,130,388,9617.879999999997,1.3319495601561677,52.83505154639175,-1591.3399999999965,2731.42,4576.139999999999,1052.079999999999,1258.2399999999993,1052.079999999999,4,74
2.5,15,1,both,vwap,130,346,11670.459999999997,1.407834731052857,46.82080924855491,-2555.53999999999,3883.08,5527.02,1213.979999999999,1046.3799999999994,1046.3799999999994,4,63
1.0,15,0,both,vwap_slope,180,397,8471.219999999998,1.2795455580437136,56.92695214105793,-2384.5399999999954,1757.579999999999,4391.9400000000005,1042.239999999999,1279.4599999999991,1042.239999999999,4,94
1.0,15,1,both,vwap_slope,180,397,8488.219999999998,1.2786125141304874,56.92695214105793,-2397.5399999999954,1760.579999999999,4414.9400000000005,1037.239999999999,1275.4599999999991,1037.239999999999,4,94
2.5,15,1,long,none,0,398,10073.979999999996,1.2700386268050188,48.49246231155779,-2313.519999999995,1035.739999999999,5490.4400000000005,2368.2199999999993,1179.579999999999,1035.739999999999,4,94
1.0,15,2,both,vwap_slope,180,397,8012.719999999997,1.2604637736938322,56.67506297229219,-2410.5399999999954,1498.079999999999,4437.9400000000005,1032.239999999999,1044.4599999999991,1032.239999999999,4,94
1.25,30,4,long,none,250,345,7647.199999999997,1.2518842239026506,55.94202898550724,-1965.4199999999983,1087.1399999999992,3156.3600000000006,1030.6199999999992,2373.08,1030.6199999999992,4,83
3.0,30,0,both,none,0,521,14146.46,1.2517100101741203,50.479846449136275,-4806.999999999984,4045.5599999999986,5927.760000000002,1025.7599999999993,3147.3799999999987,1025.7599999999993,4,126
