rr,or_minutes,offset_ticks,direction,bias,max_or_points,regime,trades,net,pf,win,maxdd
1.0,15,1,long,vwap,200,adx,527,293.0199999999961,1.0078288312165757,53.889943074003796,-2083.9400000000005
1.0,15,1,long,vwap_slope,0,none,793,6062.179999999995,1.1160429273342465,53.84615384615385,-3139.2400000000016
1.0,15,1,long,vwap_slope,0,adx,491,3891.159999999996,1.1129794752230606,55.193482688391036,-2001.1399999999976
1.0,15,1,long,vwap_slope,130,none,703,5637.779999999995,1.1440496339085322,53.91180654338549,-2628.459999999992
1.0,15,1,long,vwap_slope,130,adx,431,4449.059999999999,1.1784971775439215,55.91647331786543,-1876.3799999999994
1.0,15,1,long,vwap_slope,200,none,778,4557.279999999995,1.0919586988149212,53.72750642673522,-3630.000000000002
1.0,15,1,long,vwap_slope,200,adx,483,2611.579999999997,1.0792767293879226,55.072463768115945,-2329.920000000001
1.0,15,1,short,none,0,none,1357,-406.68000000000893,0.9958736016026675,51.58437730287398,-6179.759999999979
1.0,15,1,short,none,0,adx,870,-3299.300000000005,0.9506126232177102,51.37931034482759,-5884.699999999998
1.0,15,1,short,none,130,none,1193,8375.179999999993,1.1193962315795174,52.640402347024306,-3398.83999999998
1.0,15,1,short,none,130,adx,760,5024.599999999995,1.1073594398147415,52.76315789473684,-2373.0599999999795
1.0,15,1,short,none,200,none,1330,3141.79999999999,1.0341838717581464,51.804511278195484,-4634.039999999952
1.0,15,1,short,none,200,adx,850,1171.499999999994,1.0191823834492135,51.88235294117647,-3837.9199999999737
1.0,15,1,short,vwap,0,none,761,2495.859999999994,1.0434707942085852,52.56241787122208,-3588.039999999999
1.0,15,1,short,vwap,0,adx,505,131.29999999999632,1.003296374440018,53.26732673267327,-3816.959999999993
1.0,15,1,short,vwap,130,none,654,5342.039999999995,1.1334169159994205,53.36391437308868,-2102.920000000001
1.0,15,1,short,vwap,130,adx,434,4341.8399999999965,1.1585551739022146,54.60829493087558,-1416.4399999999878
1.0,15,1,short,vwap,200,none,741,4773.159999999994,1.0910382668329317,52.90148448043185,-3136.300000000001
1.0,15,1,short,vwap,200,adx,489,4186.639999999997,1.120142587968179,54.19222903885481,-2008.4599999999882
1.0,15,1,short,vwap_slope,0,none,744,5829.439999999995,1.108059090829888,53.36021505376344,-2920.4800000000014
1.0,15,1,short,vwap_slope,0,adx,499,1830.7399999999961,1.0476188246702103,54.30861723446894,-2379.5799999999917
1.0,15,1,short,vwap_slope,130,none,647,8484.719999999994,1.2229562371207974,54.25038639876353,-1477.5399999999954
1.0,15,1,short,vwap_slope,130,adx,432,7063.319999999998,1.272196308502406,56.25,-1328.659999999998
1.0,15,1,short,vwap_slope,200,none,724,8093.739999999996,1.1652613352826107,53.729281767955804,-2479.679999999996
1.0,15,1,short,vwap_slope,200,adx,483,5873.079999999996,1.1754502105194606,55.27950310559007,-1462.9399999999955
1.0,15,2,both,none,0,none,1838,4872.3799999999865,1.0364192013485416,52.50272034820457,-6254.959999999983
1.0,15,2,both,none,0,adx,1167,-1165.580000000007,0.9871693570456255,52.52784918594687,-6954.999999999967
1.0,15,2,both,none,130,none,1622,13547.219999999987,1.1402709534811626,53.39087546239211,-2902.980000000001
1.0,15,2,both,none,130,adx,1020,6722.199999999993,1.1043098777056608,53.627450980392155,-3026.7399999999725
1.0,15,2,both,none,200,none,1796,5023.459999999986,1.0400875509188172,52.505567928730514,-4349.019999999984
1.0,15,2,both,none,200,adx,1138,961.3799999999924,1.0114632702693291,52.72407732864674,-4629.599999999968
1.0,15,2,both,vwap,0,none,1631,7839.559999999989,1.06758497736121,53.09625996321275,-5790.079999999985
1.0,15,2,both,vwap,0,adx,1040,1357.3999999999924,1.0171144877782836,53.55769230769231,-5294.919999999983
1.0,15,2,both,vwap,130,none,1434,11353.839999999993,1.1341754733610543,53.55648535564853,-2096.359999999975
1.0,15,2,both,vwap,130,adx,908,7451.079999999994,1.132279323495545,54.62555066079295,-1694.53999999999
1.0,15,2,both,vwap,200,none,1594,8188.43999999999,1.0756446400596846,53.13676286072773,-3618.8799999999865
1.0,15,2,both,vwap,200,adx,1015,3991.8999999999933,1.0548693507688087,53.89162561576355,-3113.7399999999834
1.0,15,2,both,vwap_slope,0,none,1535,11212.599999999988,1.1049111549621013,53.420195439739416,-3870.3599999999915
1.0,15,2,both,vwap_slope,0,adx,989,5118.139999999992,1.069726330955873,54.60060667340748,-3870.3599999999915
1.0,15,2,both,vwap_slope,130,none,1348,13696.479999999992,1.1760534558534692,53.85756676557863,-2756.1599999999708
1.0,15,2,both,vwap_slope,130,adx,862,11161.119999999994,1.2174525149678432,55.91647331786543,-1745.9199999999819
1.0,15,2,both,vwap_slope,200,none,1500,11976.999999999989,1.1207276357523146,53.53333333333333,-3421.119999999994
1.0,15,2,both,vwap_slope,200,adx,965,7888.399999999993,1.117878662264572,55.02590673575129,-2422.8999999999905
1.0,15,2,long,none,0,none,1423,8250.97999999999,1.0876222982351245,52.916373858046384,-3917.4599999999964
1.0,15,2,long,none,0,adx,905,4283.799999999996,1.06650103761365,53.48066298342542,-2827.8000000000006
1.0,15,2,long,none,130,none,1259,5085.339999999993,1.0703679923838831,52.74027005559968,-3734.92
1.0,15,2,long,none,130,adx,789,2347.6399999999944,1.0488879615133602,53.35868187579214,-2568.420000000001
1.0,15,2,long,none,200,none,1391,4515.159999999991,1.0503156680892736,52.624011502516176,-4749.4999999999945
1.0,15,2,long,none,200,adx,882,1044.3199999999943,1.0170689721677946,53.06122448979592,-3073.579999999999
1.0,15,2,long,vwap,0,none,871,5845.9599999999955,1.100564894388936,53.73134328358209,-2753.6199999999917
1.0,15,2,long,vwap,0,adx,536,1728.359999999996,1.044148208998228,54.1044776119403,-2246.3399999999974
1.0,15,2,long,vwap,130,none,781,6271.059999999996,1.1419389154712163,53.90524967989757,-2270.099999999999
1.0,15,2,long,vwap,130,adx,475,3368.499999999997,1.1175809016641791,54.94736842105263,-2034.1199999999994
1.0,15,2,long,vwap,200,none,854,3911.539999999995,1.070631194273433,53.51288056206089,-2635.4800000000005
1.0,15,2,long,vwap,200,adx,527,297.5199999999959,1.007916067125865,53.889943074003796,-2093.4400000000005
1.0,15,2,long,vwap_slope,0,none,792,6156.919999999995,1.1175987014887114,53.78787878787878,-2827.7400000000016
1.0,15,2,long,vwap_slope,0,adx,491,3903.159999999996,1.1128886806477456,55.193482688391036,-2007.1399999999976
1.0,15,2,long,vwap_slope,130,none,702,5744.019999999997,1.1464797050831137,53.84615384615385,-2370.9199999999955
1.0,15,2,long,vwap_slope,130,adx,431,4468.059999999999,1.1785003455701106,55.91647331786543,-1884.3799999999994
1.0,15,2,long,vwap_slope,200,none,777,4651.019999999996,1.093643315333599,53.66795366795367,-3319.500000000002
1.0,15,2,long,vwap_slope,200,adx,483,2621.079999999997,1.0792487651961897,55.072463768115945,-2006.8600000000004
1.0,15,2,short,none,0,none,1355,-1358.2000000000094,0.986343251150849,51.36531365313653,-6437.259999999989
1.0,15,2,short,none,0,adx,868,-4227.820000000005,0.9373507794440163,51.03686635944701,-6139.199999999997
1.0,15,2,short,none,130,none,1191,7689.159999999992,1.1083620075402265,52.39294710327456,-3414.33999999998
